lat;long;adresse;commune;codepostal
49.1281722305;4.23148706374;Autoroute de l'Est;LES PETITES-LOGES;51400
47.9766699516;5.49884455034;AIRE DE MONTIGNY LE ROI A31;Val-de-Meuse;52140
49.08293;4.77476;autoroute a4 aire de valmy orbeval;Valmy;51800
47.8158364265;5.2225134148;AUTOROUTE A31;PERROGNEY-LES-FONTAINES;52160
49.0740742732;4.7906011555;AUTOROUTE A 4 - SENS  PROV. PARIS;VALMY;51800
49.12625;6.27557;Autoroute de l'Est;Les Petites-Loges;51400
49.2446429829;3.92341512809;Aire de Gueux A4;Gueux;51390
-24.3328811503;61.7807352057;Autoroute du Soleil;Petite-Île;97429
48.68156;4.37692;AUT A 26   AIRE DE SOMMESOUS;SOMMESOUS;51320
49.0722181608;4.78888832643;AUTOROUTE A4   AIRE DE VALMY ORB;VALMY;51800
49.12311;4.23946;Autoroute de l'Est;LES PETITES-LOGES;51400
47.9770453628;5.49885752632;AIRE DE VAL DE MEUSE A31;Val-de-Meuse;52140
49.2437996633;3.92130218585;AUT A 4   AIRE DE VRIGNY;VRIGNY;51390
49.12311;4.23946;Autoroute de l'Est;LES PETITES-LOGES;51400
48.05619;4.95681;AIRE DE CHATEAUVILLAIN SUR ORGE;Châteauvillain;52120
46.12229;4.76776;AUT A 6   SENS LYON PARIS;Taponas;69220
45.37326;4.81222;autoroute A7;Roussillon;38150
45.9027906451;4.73012690486;A6 AIRE DES CHERES EST;LES CHèRES;69380
45.8947535407;4.73155426242;A6 AIRE DES CHERES OUEST;LES CHèRES;69380
46.12229;4.76776;Aire de Taponas - A 6;Taponas;69220
45.625226222;4.81552644418;A 7 - AIRE DE SEREZIN;SAINT-SYMPHORIEN-D'OZON;69360
45.8075;4.76968;AUTOROUTE A6 AIRE DE DARDILLY;Dardilly;69570
45.5893436013;4.82649801665;A 46 - AIRE DE COMMUNAY SUD - SENS PROVINCE-PARIS;COMMUNAY;69360
45.6434068187;4.82819099851;A 7 - AIRE DE SOLAIZE;SAINT-SYMPHORIEN-D'OZON;69360
45.5913473472;4.82648548938;A 46 - AIRE DE COMMUNAY NORD;COMMUNAY;69360
45.8770375526;6.07195386531;Autoroute A41 Nord;Seynod;74600
45.88355;6.09275;41 Avenue Jean Clerc;Seynod;74600
45.8762677487;6.07237596782;A41 - AIRE DE LA RIPAILLE;SEYNOD;74600
46.11603;5.96985;AIRE DE VALLEIRY;Valleiry;74520
45.868336682;6.06136090121;AIRE DE LA RIPAILLE-A41;SEYNOD;74600
46.00134;6.16856;AUTOROUTE A410 - 865 ROUTE DE LECY;Groisy;74570
46.09736;5.96419;A 40 AIRE de VALLEIRY NORD;Valleiry;74520
45.99654;6.24771;A 41 - AIRE DES CRETS BLANCS GRO;THORENS-GLIèRES;74570
44.1991844185;0.509039368657;A 62 - AIRE D AGEN PORTE D AQUIT;STE COLOMBE;47310
44.40462;0.18728;A62 AIRE DU MAS D'AGENAIS;Le Mas-d'Agenais;47430
44.8720332199;3.24880951157;A75 - aire de la Lozère - échangeur 32 - La Garde;ALBARET-SAINTE-MARIE;48200
43.23187;3.05843;A 9 - AIRE NARBONNE VINASSAN NOR;COURSAN;11110
43.2214380092;2.20197273176;A61 Aire d'Arzens Nord;ARZENS;11290
43.2148856472;3.09236711734;AUTOROUTE A 9;SALLES-D'AUDE;11110
42.97446;2.99351;AUTOROUTE A 9;La Palme;11480
42.97984;2.98637;AIRE DE LAPALME EST;La Palme;11480
43.17816;2.54421;AUTOROUTE A61;Capendu;11700
42.9499545422;2.97202130031;A9 AIRE DE LA PALME OUEST;LA PALME;11480
43.2206065075;2.20602123684;A61 Aire d'Arzens Sud;ARZENS;11290
43.1800674154;2.56049209054;AIRE DES CORBIERES A61;CAPENDU;11700
46.95888;4.83532;Autoroute du Soleil;MERCEUIL;21190
46.9780099827;4.84448173325;AUTOROUTE A 6  sens Paris Lyon;MERCEUIL;21190
47.1764636359;5.31634358546;Aire Sud;PONT;21130
47.1764900612;5.31618787373;A39 Aire de Val de Saone;PONT;21130
46.9554044419;4.83420131248;A6 AIRE DE BEAUNE;MERCEUIL;21190
47.1849293189;5.33092858452;AUT A 39   AIRE DE PONT NORD;PONT;21130
48.9407011762;1.95295913841;A 13 - Aire Morainvilliers Sud R;Morainvilliers;78630
48.9399669086;1.96048690486;AUTOROUTE A 13 - PARIS-ROUEN;ORGEVAL;78630
48.9929648973;1.6329249732;A13 AIRE DE ROSNY;ROSNY-SUR-SEINE;78710
48.99302;1.63007;A13 AIRE DE ROSNY;Rosny-sur-Seine;78710
48.9935279689;1.62490581892;aire de Rosny Sud;ROSNY SUR SEINE;78710
47.3450295307;2.0487331666;A 71 - AIRE DE SALBRIS LA LOGE;THEILLAY;41300
47.81097;1.95621;Rue des Charmes;Saint-Cyr-en-Val;45590
47.6182106867;1.96318690905;AUTOROUTE A 71;CHAUMONT-SUR-THARONNE;41600
47.3523095522;2.05052385154;Aire de Salbris Theillay Autoroute A 71;THEILLAY;41300
45.54068;1.52039;A 20 AIRE DE LA PORTE DE CORREZE;Masseret;19510
45.1615992811;1.44257169942;AIRE DU PAYS DE BRIVE A 89;SAINT-PANTALéON-DE-LARCHE;19600
45.62392;2.48126;Viaduc du Chava0;Merlines;19340
45.3596668084;1.93758630545;AUTOROUTE A 89   AIRE DE LA CORREZE;VITRAC-SUR-MONTANE;19800
45.055609862;5.19231892394;RN 532;HOSTUN;26730
45.13448;4.89375;Autoroute du Soleil;PONT-DE-L'ISèRE;26600
49.3611;0.86121;AUTOROUTE A 13;Bosgouet;27310
44.4857757049;4.76728961876;AUT A7 -  AIRE DE MONTELIMAR;ALLAN;26780
44.67369;4.79765;Autoroute A7;Pont-de-l'Isère;26600
44.86418;4.86645;AUTOROUTE A 7;Portes-lès-Valence;26800
45.01933;4.87541;Autoroute du Soleil;PONT-DE-L'ISèRE;26600
49.37268;0.65987;Autoroute de Normandie;BEUZEVILLE;27210
49.363295683;0.846933843551;Autoroute a13Aire du Bosgouet;BOSGOUET;27310
45.07098;5.21048;AUT A 49 - AIRE DE LA BAUME D'HOSTEIN;La Baume-d'Hostun;26730
44.5151276086;4.77964811206;A 7 - AIRE DE MONTELIMAR OUEST;ALLAN;26780
45.0712499008;5.21078488977;Station Service AVIA - Autoroute A 49;La Baume-d'Hostun;26730
49.3205;0.31946;AUTOROUTE A 13;Beuzeville;27210
45.13448;4.89375;Autoroute du Soleil;PONT-DE-L'ISèRE;26600
44.8681580895;4.86229525904;AUT A7   AIRE DE PORTES LES VALENCE;PORTES-LèS-VALENCE;26800
45.07695;5.21232;Autoroute A.49 Aire Porte de la Drôme;La Baume-d'Hostun;26730
49.32527;0.32879;AUTOROUTE   - A 13;Beuzeville;27210
45.69313;5.91228;A41;AIX LES BAINS;73100
48.1863;0.65048;A 11 AIRE DE VILLAINES LA GONAIS;La Ferté-Bernard;72400
