lat;long;Nom;Adresse;Commune;Pôle;Acces_PMR
 47.2074361214992 ; -1.50514404023303;Poste;place Cambronne;Saint-Sébastien-sur-Loire;Loire Sèvre Vignoble;0
 47.2084138753702 ; -1.50364140031247;Eglise;place de l'Eglise;Saint-Sébastien-sur-Loire;Loire Sèvre Vignoble;1
 47.1935509230788 ; -1.51773095275049;Liberté;place de la Liberté- Place Alfred Radigois;Saint-Sébastien-sur-Loire;Loire Sèvre Vignoble;1
 47.2150160899479 ; -1.46531932254415;Eglise;Place St Brice;Basse-Goulaine;Loire Sèvre Vignoble;1
 47.2173721110801 ; -1.46597579162715;Salle Zodiaque;Rue de la Poste;Basse-Goulaine;Loire Sèvre Vignoble;1
 47.148315904221 ; -1.53045143123094;Face Mairie;rue de l'Elan face à la mairie;Les Sorinières;Loire Sèvre Vignoble;1
 47.1652324526394 ; -1.4839848939869;Garnier;Rte Sorinières/ A,garnier  le Chêne;Vertou;Loire Sèvre Vignoble;1
 47.1582216246082 ; -1.47240648550308;Pierre Percée;Rue Pierre Percée  chemin du champ de courses;Vertou;Loire Sèvre Vignoble;1
 47.1709208087693 ; -1.51088513669327;Cale Beautour;Rue de la Cale de Beautour;Vertou;Loire Sèvre Vignoble;1
 47.1678551158433 ; -1.47992234389478;Capitainerie;Quai de Chaussée des Moines /Baillorges;Vertou;Loire Sèvre Vignoble;1
 47.1638439165467 ; -1.47206679265198;Eglise;Impasse G1n  St Martin;Vertou;Loire Sèvre Vignoble;1
 47.1493884345102 ; -1.46825355710177;Portillon;Lieu-dit Portillon;Vertou;Loire Sèvre Vignoble;1
 47.2492980554648 ; -1.48672336617472;11-nov;Place du 11 Novembre;Sainte-Luce-sur-Loire;Erdre et Loire;
 47.2498794405798 ; -1.48385499949354;Marché;Place du Marché;Sainte-Luce-sur-Loire;Erdre et Loire;1
 47.2443251085474 ; -1.46086918880616;Ile Clémentine;Ile Clémentine (bord de Loire);Sainte-Luce-sur-Loire;Erdre et Loire;1
 47.2445237680788 ; -1.47450553357271;Plessis;Ch. des Claudix (plan d'eau du Plessis);Sainte-Luce-sur-Loire;Erdre et Loire;
 47.2673084420546 ; -1.44085570593544;Eglise;Place de la République / place de l'église;Thouaré-sur-Loire;Erdre et Loire;0
 47.2662951813781 ; -1.43824383903739;Cimetière communautaire;Cimetière communautaire;Thouaré-sur-Loire;Erdre et Loire;0
