lat;long;Geometry;ARRONDISSEMENT;NUMERO DE VOIE;NOM DE VOIE;HORAIRES OUVERTURE
48.8396660531; 2.30195906663;"{""type"": ""Point"", ""coordinates"": [2.301959066629967, 48.839666053055645]}";15;277;RUE DE VAUGIRARD;6 h - 22 h
48.8346285188; 2.284141152;"{""type"": ""Point"", ""coordinates"": [2.284141151998802, 48.834628518846834]}";15;83;RUE DESNOUETTES;6 h - 22 h
48.8425893817; 2.29213723446;"{""type"": ""Point"", ""coordinates"": [2.292137234463806, 48.84258938168304]}";15;26;PLACE ETIENNE PERNET;24 h / 24
48.8447973119; 2.29047953946;"{""type"": ""Point"", ""coordinates"": [2.290479539458573, 48.84479731192474]}";15;1;PLACE VIOLET;6 h - 22 h
48.8462434637; 2.27762807252;"{""type"": ""Point"", ""coordinates"": [2.277628072521375, 48.84624346371504]}";15;face 2;AVENUE EMILE ZOLA;24 h / 24
48.8490352799; 2.28792008292;"{""type"": ""Point"", ""coordinates"": [2.287920082919212, 48.84903527987034]}";15;;RUE DU THEATRE;6 h - 1 h
48.8383970816; 2.25861985018;"{""type"": ""Point"", ""coordinates"": [2.258619850176145, 48.83839708158384]}";16;224;AVENUE DE VERSAILLES;6 h - 22 h
48.8623619639; 2.26822808174;"{""type"": ""Point"", ""coordinates"": [2.26822808173859, 48.86236196388364]}";16;;BOULEVARD SUCHET;6 h - 22 h
48.8412299523; 2.25461090743;"{""type"": ""Point"", ""coordinates"": [2.254610907429328, 48.841229952302605]}";16;16;AVENUE DU PARC DES PRINCES;6 h - 22 h
48.878920802; 2.29447373547;"{""type"": ""Point"", ""coordinates"": [2.294473735472731, 48.87892080201218]}";17;4;AVENUE NIEL;6 h - 22 h
48.8840275667; 2.30420618261;"{""type"": ""Point"", ""coordinates"": [2.304206182609653, 48.8840275667162]}";17;72;AVENUE DE VILLIERS;6 h - 22 h
48.8948461073; 2.31429354624;"{""type"": ""Point"", ""coordinates"": [2.314293546244285, 48.894846107330885]}";17;132;BOULEVARD BESSIERES;6 h - 22 h
48.8814960028; 2.29553251987;"{""type"": ""Point"", ""coordinates"": [2.29553251986901, 48.88149600278608]}";17;face 32;AVENUE NIEL;6 h - 22 h
48.8856323541; 2.35340146335;"{""type"": ""Point"", ""coordinates"": [2.353401463347953, 48.885632354085274]}";18;face 17;RUE POLONCEAU;6 h - 22 h
48.8841038721; 2.3521864294;"{""type"": ""Point"", ""coordinates"": [2.352186429401018, 48.88410387209199]}";18;36;RUE DE LA CHARBONNIERE;6 h - 22 h
48.8976316127; 2.3589156474;"{""type"": ""Point"", ""coordinates"": [2.358915647403526, 48.89763161271532]}";18;87;RUE DE LA CHAPELLE;6 h - 22 h
48.8890639193; 2.34515427741;"{""type"": ""Point"", ""coordinates"": [2.3451542774097662, 48.88906391929743]}";18;23;RUE LAMBERT;24 h / 24
48.9007058379; 2.34022806856;"{""type"": ""Point"", ""coordinates"": [2.340228068562176, 48.90070583792087]}";18;opposé au 17;RUE LIEUTENANT COLONEL DAX;6 h - 22 h
48.8957747391; 2.34600060986;"{""type"": ""Point"", ""coordinates"": [2.346000609858457, 48.895774739133586]}";18;face 51;PLACE ALBERT KAHN;6 h - 22 h
48.9008257902; 2.34380740461;"{""type"": ""Point"", ""coordinates"": [2.3438074046061512, 48.90082579022458]}";18;;AVENUE DE LA PORTE DE CLIGNANCOURT;6 h - 22 h
48.8991988465; 2.3701265059;"{""type"": ""Point"", ""coordinates"": [2.370126505900549, 48.89919884647476]}";18;3;AVENUE DE LA PORTE D AUBERVILLIERS;6 h - 22 h
48.8842143528; 2.32896961728;"{""type"": ""Point"", ""coordinates"": [2.3289696172819863, 48.88421435284178]}";18;130 ter;BOULEVARD DE CLICHY;24 h / 24
48.884078656; 2.35342927125;"{""type"": ""Point"", ""coordinates"": [2.353429271251458, 48.884078656036344]}";18;face 90;BOULEVARD DE LA CHAPELLE;24 h / 24
48.8977589087; 2.34164200768;"{""type"": ""Point"", ""coordinates"": [2.341642007680557, 48.89775890869896]}";18;9;BOULEVARD NEY;6 h - 22 h
48.893502449; 2.33689209089;"{""type"": ""Point"", ""coordinates"": [2.336892090886547, 48.89350244895922]}";18;face 154;RUE ORDENER;6 h - 22 h
48.899194262; 2.34396370204;"{""type"": ""Point"", ""coordinates"": [2.343963702043887, 48.89919426197595]}";18;15;AVENUE DE LA PORTE DE CLIGNANCOURT;6 h - 22 h
48.8806802415; 2.40040879932;"{""type"": ""Point"", ""coordinates"": [2.400408799321377, 48.88068024153816]}";19;;BOULEVARD D ALGERIE;6 h - 22 h
48.887235116; 2.37583653584;"{""type"": ""Point"", ""coordinates"": [2.375836535842065, 48.88723511603302]}";19;face 57;QUAI DE LA SEINE;6 h - 1 h
48.8857730297; 2.37036598805;"{""type"": ""Point"", ""coordinates"": [2.37036598804957, 48.88577302968561]}";19;25;AVENUE DE FLANDRE;24 h / 24
48.8886953619; 2.37392407329;"{""type"": ""Point"", ""coordinates"": [2.373924073285048, 48.888695361853834]}";19;69;AVENUE DE FLANDRE;24 h / 24
48.8778639152; 2.38125082319;"{""type"": ""Point"", ""coordinates"": [2.381250823187719, 48.87786391522245]}";19;3;RUE BOTZARIS;24 h / 24
48.8554039905; 2.40008152756;"{""type"": ""Point"", ""coordinates"": [2.400081527560205, 48.85540399050096]}";20;101;RUE ALEXANDRE DUMAS;6 h - 22 h
48.8482636473; 2.40003159415;"{""type"": ""Point"", ""coordinates"": [2.400031594154966, 48.84826364729009]}";20;9;COURS DE VINCENNES;6 h - 22 h
