geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8683025332, 2.29374015525;"{""type"": ""Point"", ""coordinates"": [2.293740155247112, 48.86830253315825]}";275;16;16/121;face 12;PLACE DES ETATS UNIS;596861.384587;129762.19474;6 h - 22 h
48.895835561, 2.32804076739;"{""type"": ""Point"", ""coordinates"": [2.328040767386878, 48.89583556102396]}";293;17;17/144;2;RUE JACQUES KELLNER;599378.037212;132823.030846;6 h - 22 h
48.8919370861, 2.32718400877;"{""type"": ""Point"", ""coordinates"": [2.32718400877257, 48.89193708606627]}";299;18;18/102;74;AVENUE DE SAINT OUEN;599315.163865;132389.525199;6 h - 22 h
48.8917888229, 2.33522147941;"{""type"": ""Point"", ""coordinates"": [2.335221479410981, 48.89178882290952]}";300;18;18/103;2;RUE MONTCALM;599904.511395;132372.997198;6 h - 22 h
48.884205159, 2.35515147711;"{""type"": ""Point"", ""coordinates"": [2.355151477107851, 48.884205159008594]}";314;18;18/117;60;BOULEVARD DE LA CHAPELLE;601366.086875;131529.858153;6 h - 1 h
48.896429138, 2.3346274324;"{""type"": ""Point"", ""coordinates"": [2.334627432395322, 48.89642913802921]}";322;18;18/129;face 36;RUE LEIBNIZ;599860.969006;132889.004259;6 h - 22 h
48.8993882119, 2.34445799674;"{""type"": ""Point"", ""coordinates"": [2.344457996741505, 48.89938821193774]}";327;18;18/144;11;RUE FRANCIS DE CROISSET;600581.698018;133218.084893;6 h - 22 h
48.901133035, 2.34444160503;"{""type"": ""Point"", ""coordinates"": [2.344441605025125, 48.9011330349834]}";330;18;18/151;;AVENUE DE LA PORTE DE CLIGNANCOURT;600580.477;133412.11000000002;6 h - 22 h
48.8842570173, 2.3673810476;"{""type"": ""Point"", ""coordinates"": [2.367381047597127, 48.8842570173169]}";340;19;19/103;220;BOULEVARD DE LA VILLETTE;602262.957834;131535.92023;6 h - 22 h
48.883028778, 2.38142198169;"{""type"": ""Point"", ""coordinates"": [2.381421981691285, 48.883028778035325]}";349;19;19/113;face 5;AVENUE DE LAUMIERE;603292.749466;131399.857816;6 h - 22 h
48.8835019891, 2.38345050145;"{""type"": ""Point"", ""coordinates"": [2.383450501448052, 48.88350198906857]}";351;19;19/116;14;RUE MEYNADIER;603441.485;131452.57;6 h - 22 h
48.8989748409, 2.38677478261;"{""type"": ""Point"", ""coordinates"": [2.38677478261204, 48.898974840867325]}";362;19;19/132;9;AVENUE DE LA PORTE DE LA VILLETTE;603684.14367;133173.318889;24 h / 24
48.8762331619, 2.38054129019;"{""type"": ""Point"", ""coordinates"": [2.38054129018795, 48.876233161862956]}";365;19;19/139;face 45;AVENUE SIMON BOLIVAR;603228.597461;130644.142465;24 h / 24
48.8715541615, 2.4021401807;"{""type"": ""Point"", ""coordinates"": [2.402140180700758, 48.87155416154086]}";373;20;20/105;24;RUE SAINT FARGEAU;604813.286607;130124.987793;6 h - 22 h
48.8533162776, 2.40925809907;"{""type"": ""Point"", ""coordinates"": [2.409258099065467, 48.853316277575715]}";380;20;20/112;131;RUE D AVRON;605337.366245;128097.400904;6 h - 22 h
48.8662840548, 2.3897774464;"{""type"": ""Point"", ""coordinates"": [2.389777446404965, 48.86628405480152]}";386;20;20/123;72;RUE DES AMANDIERS;603906.827131;129538.232816;6 h - 22 h
48.871931094, 2.3920523226;"{""type"": ""Point"", ""coordinates"": [2.392052322599437, 48.8719310939533]}";389;20;20/135;296;RUE DES PYRENEES;604073.260171;130166.308066;6 h - 22 h
