geom_x_y;Geometry;OBJECTID;ARRONDISSEMENT;IDENTIFIANT;NUMERO DE VOIE;NOM DE VOIE;X;Y;HORAIRES OUVERTURE
48.8539831723, 2.36970018791;"{""type"": ""Point"", ""coordinates"": [2.369700187908606, 48.853983172309]}";123;11;11/102;face 4;BOULEVARD RICHARD LENOIR;602434.49497;128169.519839;24 h / 24
48.8532924467, 2.38788033428;"{""type"": ""Point"", ""coordinates"": [2.387880334276553, 48.853292446707854]}";127;11;11/106;195;BOULEVARD VOLTAIRE;603768.624259;128093.460108;6 h - 22 h
48.8495778168, 2.39630211203;"{""type"": ""Point"", ""coordinates"": [2.396302112025293, 48.849577816842455]}";131;11;11/111;2;AVENUE DE BOUVINES;604386.956103;127680.846866;24 h / 24
48.8588174968, 2.3893212175;"{""type"": ""Point"", ""coordinates"": [2.389321217499664, 48.85881749681137]}";132;11;11/112;face au 7;BOULEVARD DE MENILMONTANT;603873.932955;128707.922736;6 h - 22 h
48.8623006181, 2.37905139141;"{""type"": ""Point"", ""coordinates"": [2.379051391411305, 48.86230061809509]}";134;11;11/118;face 28;RUE DU GENERAL GUILHEM;603120.18;129094.77100000001;6 h - 1 h
48.8617407569, 2.37266335235;"{""type"": ""Point"", ""coordinates"": [2.372663352349816, 48.86174075690268]}";135;11;11/119;face 86;BOULEVARD RICHARD LENOIR;602651.527;129032.269;24 h / 24
48.8656969801, 2.38095859967;"{""type"": ""Point"", ""coordinates"": [2.3809585996675793, 48.865696980133585]}";137;11;11/125;18;AVENUE JEAN AICARD;603259.88933;129472.529696;6 h - 1 h
48.864242083, 2.37952312143;"{""type"": ""Point"", ""coordinates"": [2.379523121425746, 48.86424208301803]}";139;11;11/130;82;AVENUE DE LA REPUBLIQUE;603154.668436;129310.682922;6 h - 1 h
48.8504315681, 2.38403796052;"{""type"": ""Point"", ""coordinates"": [2.384037960521688, 48.850431568087686]}";141;11;11/134;3;RUE DE MONTREUIL;603486.861551;127775.143111;6 h - 22 h
48.8495804477, 2.39366320703;"{""type"": ""Point"", ""coordinates"": [2.393663207033468, 48.84958044774374]}";142;11;11/136;282;BOULEVARD VOLTAIRE;604193.293292;127680.989037;6 h - 22 h
48.8658415599, 2.36937734153;"{""type"": ""Point"", ""coordinates"": [2.369377341527092, 48.865841559900986]}";146;11;11/144;123;BOULEVARD RICHARD LENOIR;602410.238017;129488.170566;24 h / 24
48.8404563216, 2.40466278548;"{""type"": ""Point"", ""coordinates"": [2.404662785475507, 48.84045632156455]}";152;12;12/108;124;AVENUE DU GENERAL MICHEL BIZOT;605001.435763;126667.050315;6 h - 22 h
48.8405254287, 2.39204037215;"{""type"": ""Point"", ""coordinates"": [2.392040372150276, 48.84052542865816]}";153;12;12/109;179;AVENUE DAUMESNIL;604074.932449;126673.975141;6 h - 22 h
48.844093329, 2.41126547446;"{""type"": ""Point"", ""coordinates"": [2.411265474461863, 48.84409332903893]}";160;12;12/122;6;AVENUE COURTELINE;605485.681944;127071.946626;6 h - 22 h
48.8455922991, 2.384916432;"{""type"": ""Point"", ""coordinates"": [2.384916431999134, 48.845592299131866]}";163;12;12/136;18;RUE ERARD;603551.671121;127237.05387;6 h - 22 h
48.8474515056, 2.37177589009;"{""type"": ""Point"", ""coordinates"": [2.371775890088081, 48.8474515056147]}";165;12;12/147;8;RUE DE LYON;602587.147;127443.263;6 h - 1 h
48.8348054392, 2.35780584951;"{""type"": ""Point"", ""coordinates"": [2.357805849511769, 48.834805439179675]}";172;13;13/105;126;BOULEVARD DE L HOPITAL;601562.264656;126036.625365;6 h - 22 h
48.8337173082, 2.36512630736;"{""type"": ""Point"", ""coordinates"": [2.365126307361793, 48.83371730817121]}";174;13;13/107;117;BOULEVARD VINCENT AURIOL;602099.699422;125915.802568;6 h - 22 h
48.8240656789, 2.35309546711;"{""type"": ""Point"", ""coordinates"": [2.353095467114704, 48.8240656789348]}";176;13;13/109;4;PLACE ABBE GEORGES HENOCQUE;601216.733634;124842.268392;6 h - 22 h
48.8268991047, 2.35132877867;"{""type"": ""Point"", ""coordinates"": [2.3513287786665, 48.8268991047308]}";179;13;13/113;4;RUE MARTIN BERNARD;601086.954392;125157.320528;24 h / 24
48.8349615547, 2.34636990605;"{""type"": ""Point"", ""coordinates"": [2.346369906052794, 48.83496155467825]}";190;13;13/131;;BOULEVARD ARAGO;600722.757909;126053.811471;6 h - 22 h
48.8238450194, 2.31818116624;"{""type"": ""Point"", ""coordinates"": [2.318181166243506, 48.823845019436696]}";213;14;14/120;opposé au 8;AVENUE DE LA PORTE DE CHATILLON;598653.140167;124817.759111;6 h - 22 h
48.825507787, 2.30413873243;"{""type"": ""Point"", ""coordinates"": [2.304138732430122, 48.82550778700855]}";217;14;14/126;18;AVENUE DE LA PORTE DE VANVES;597622.148628;125003.006505;6 h - 22 h
48.8348792304, 2.32414276007;"{""type"": ""Point"", ""coordinates"": [2.324142760072422, 48.83487923037213]}";218;14;14/130;131;AVENUE DU MAINE;599091.082201;126044.6831;6 h - 22 h
48.8428648453, 2.29781054036;"{""type"": ""Point"", ""coordinates"": [2.297810540363732, 48.84286484525702]}";246;15;15/122;face 19;RUE LEON LHERMITTE;597158.517128;126933.343916;6 h - 22 h
48.8465506878, 2.28477482095;"{""type"": ""Point"", ""coordinates"": [2.284774820948416, 48.84655068777487]}";249;15;15/128;65;AVENUE EMILE ZOLA;596202.014382;127343.789949;6 h - 1 h
48.8455266144, 2.30189793713;"{""type"": ""Point"", ""coordinates"": [2.30189793713342, 48.84552661441673]}";250;15;15/130;38;RUE CAMBRONNE;597458.65896;127229.188082;6 h - 22 h
48.8478417928, 2.30207203653;"{""type"": ""Point"", ""coordinates"": [2.302072036529616, 48.84784179283768]}";253;15;15/138;;BOULEVARD GARIBALDI;597471.556036;127486.63171;6 h - 22 h
48.8491847075, 2.30356403712;"{""type"": ""Point"", ""coordinates"": [2.303564037123816, 48.8491847075324]}";254;15;15/140;25;AVENUE DE LOWENDAL;597581.120262;127635.915931;6 h - 22 h
48.8572621108, 2.29110456267;"{""type"": ""Point"", ""coordinates"": [2.291104562668087, 48.8572621108294]}";256;15;15/143;73;QUAI BRANLY;596667.290874;128534.606247;24 h / 24
48.8483316189, 2.26053361093;"{""type"": ""Point"", ""coordinates"": [2.260533610934559, 48.8483316189443]}";267;16;16/104;101;BOULEVARD DE MONTMORENCY;594423.108;127543.345;6 h - 22 h
48.851292682, 2.27548876659;"{""type"": ""Point"", ""coordinates"": [2.275488766587515, 48.85129268201854]}";269;16;16/106;22;RUE GROS;595520.923738;127871.61521;6 h - 22 h
48.8484437891, 2.25717759424;"{""type"": ""Point"", ""coordinates"": [2.25717759424425, 48.84844378909375]}";277;16;16/126;;PLACE DE LA PORTE D AUTEUIL;594176.825751;127556.073142;24 h / 24
48.8422349218, 2.25617823875;"{""type"": ""Point"", ""coordinates"": [2.25617823875352, 48.84223492180608]}";278;16;16/134;;BOULEVARD MURAT;594102.744086;126865.721593;6 h - 22 h
48.8571927967, 2.26669903431;"{""type"": ""Point"", ""coordinates"": [2.266699034313543, 48.857192796689]}";279;16;16/135;face 38;AVENUE RAPHAEL;594876.502189;128528.273759;24 h / 24
48.8888826761, 2.29757004372;"{""type"": ""Point"", ""coordinates"": [2.29757004371774, 48.888882676103464]}";282;17;17/103;face 1;AVENUE EMILE ET ARMAND MASSARD;597143.541;132050.567;6 h - 22 h
48.8884709682, 2.31581150544;"{""type"": ""Point"", ""coordinates"": [2.315811505441223, 48.88847096823836]}";284;17;17/105;;PLACE CHARLES FILLION;598481.166186;132004.256007;24 h / 24
48.8769298905, 2.28595031112;"{""type"": ""Point"", ""coordinates"": [2.285950311120399, 48.8769298904705]}";286;17;17/107;64;AVENUE DE LA GRANDE ARMEE;596290.572737;130721.918004;6 h - 22 h
48.8811175902, 2.28297085554;"{""type"": ""Point"", ""coordinates"": [2.282970855541264, 48.88111759021972]}";287;17;17/109;7;AVENUE DE LA PORTE DES TERNES;596072.372009;131187.744282;6 h - 22 h
48.8894228236, 2.31886670308;"{""type"": ""Point"", ""coordinates"": [2.318866703076726, 48.88942282364005]}";289;17;17/134;96ter;RUE LEMERCIER;598705.22975;132110.046128;6 h - 22 h
48.8963596175, 2.3530164563;"{""type"": ""Point"", ""coordinates"": [2.353016456301597, 48.89635961750966]}";304;18;18/107;138;RUE DES POISSONNIERS;601209.22503;132881.405522;6 h - 22 h
48.8859575419, 2.35627051467;"{""type"": ""Point"", ""coordinates"": [2.356270514670972, 48.88595754194372]}";317;18;18/120;1;RUE SAINT BRUNO;601448.103353;131724.745327;24 h / 24
48.8950895579, 2.35883888856;"{""type"": ""Point"", ""coordinates"": [2.358838888560636, 48.895089557914645]}";320;18;18/125;57;RUE DE LA CHAPELLE;601636.158088;132740.284398;6 h - 22 h
48.884644912, 2.35909848088;"{""type"": ""Point"", ""coordinates"": [2.35909848087648, 48.88464491202468]}";328;18;18/148;;PLACE DE LA CHAPELLE;601655.531799;131578.838353;6 h - 22 h
48.882567343, 2.33677389228;"{""type"": ""Point"", ""coordinates"": [2.336773892278157, 48.88256734295447]}";334;18;18/157;face 34;BOULEVARD DE CLICHY;600018.339458;131347.561696;24 h / 24
48.8933841338, 2.36985563312;"{""type"": ""Point"", ""coordinates"": [2.369855633117845, 48.89338413377642]}";343;19;19/106;154;RUE D AUBERVILLIERS;602443.992782;132550.939247;6 h - 22 h
48.8954953474, 2.37896296772;"{""type"": ""Point"", ""coordinates"": [2.378962967718832, 48.89549534741361]}";356;19;19/121;7;RUE DE CAMBRAI;603111.638469;132786.044044;6 h - 22 h
48.8894777633, 2.38070265061;"{""type"": ""Point"", ""coordinates"": [2.380702650607976, 48.889477763342]}";359;19;19/126;2;RUE DE JOINVILLE;603239.579387;132116.958122;6 h - 22 h
48.894741052, 2.38202690388;"{""type"": ""Point"", ""coordinates"": [2.382026903875655, 48.89474105195624]}";361;19;19/130;177;AVENUE DE FLANDRE;603336.335689;132702.297201;6 h - 22 h
48.8889514414, 2.39309576671;"{""type"": ""Point"", ""coordinates"": [2.393095766711883, 48.8889514413928]}";363;19;19/136;213;AVENUE JEAN JAURES;604148.393561;132059.039202;24 h / 24
48.8793838919, 2.38442043788;"{""type"": ""Point"", ""coordinates"": [2.384420437881086, 48.879383891938495]}";366;19;19/141;;RUE BOTZARIS;603512.905599;130994.679595;24 h / 24
48.8491004469, 2.40258392612;"{""type"": ""Point"", ""coordinates"": [2.40258392612078, 48.84910044694497]}";371;20;20/103;1;RUE DE BUZENVAL;604848.009214;127628.14767;6 h - 22 h
48.8683430107, 2.38189800131;"{""type"": ""Point"", ""coordinates"": [2.381898001311502, 48.86834301072907]}";376;20;20/108;34;BOULEVARD DE BELLEVILLE;603328.632131;129766.811269;6 h - 22 h
48.8547611226, 2.39595517104;"{""type"": ""Point"", ""coordinates"": [2.395955171043603, 48.85476112263232]}";377;20;20/109;118;BOULEVARD DE CHARONNE;604361.044432;128257.213995;6 h - 22 h
48.8538097072, 2.41151638615;"{""type"": ""Point"", ""coordinates"": [2.411516386149459, 48.85380970720609]}";383;20;20/115;6;AVENUE DE LA PORTE DE MONTREUIL;605503.029874;128152.432577;6 h - 22 h
48.8648794077, 2.40077805546;"{""type"": ""Point"", ""coordinates"": [2.400778055461638, 48.86487940765236]}";392;20;20/152;face 12;RUE BELGRAND;604713.995413;129382.664921;6 h - 22 h
48.8623131813, 2.35020308502;"{""type"": ""Point"", ""coordinates"": [2.350203085019233, 48.86231318125602]}";2;01;1/106;55;BOULEVARD DE SEBASTOPOL;601003.615525;129095.376762;6 h - 22 h
48.8683443637, 2.35014625048;"{""type"": ""Point"", ""coordinates"": [2.350146250477204, 48.86834436372816]}";11;02;2/103;face 31;RUE D ALEXANDRIE;600999.328775;129766.047802;6 h - 22 h
48.8712998867, 2.34365407443;"{""type"": ""Point"", ""coordinates"": [2.343654074431694, 48.87129988674203]}";21;02;2/116;27;BOULEVARD POISSONNIERE;600523.034798;130094.637965;24 h / 24
48.8611231272, 2.36703242245;"{""type"": ""Point"", ""coordinates"": [2.367032422454014, 48.86112312715206]}";25;03;3/103;1;BOULEVARD DES FILLES DU CALVAIRE;602238.415459;128963.405014;24 h / 24
48.8630936107, 2.35271771746;"{""type"": ""Point"", ""coordinates"": [2.3527177174595533, 48.86309361074665]}";26;03;3/104;face 34;RUE DU GRENIER SAINT LAZARE;601188.092827;129182.197835;6 h - 22 h
48.8655035113, 2.3522490913;"{""type"": ""Point"", ""coordinates"": [2.352249091304387, 48.86550351132711]}";29;03;3/111;82;BOULEVARD DE SEBASTOPOL;601153.656757;129450.173102;6 h - 22 h
48.8615373524, 2.35003085158;"{""type"": ""Point"", ""coordinates"": [2.350030851579704, 48.861537352354155]}";38;04;4/115;36;BOULEVARD DE SEBASTOPOL;600990.993925;129009.101712;24 h / 24
48.8374184706, 2.35354364655;"{""type"": ""Point"", ""coordinates"": [2.353543646549931, 48.837418470611134]}";52;05;5/142;78;BOULEVARD SAINT MARCEL;601249.315609;126327.11662;6 h - 1 h
48.8443966009, 2.36039470127;"{""type"": ""Point"", ""coordinates"": [2.3603947012655633, 48.84439660085208]}";53;05;5/143;;RUE CUVIER;601751.97958;127103.226879;6 h - 22 h
48.8625217068, 2.30105587551;"{""type"": ""Point"", ""coordinates"": [2.301055875508433, 48.862521706803186]}";63;07;7/103;;QUAI BRANLY;597397.758037;129119.083032;24 h / 24
48.8792272013, 2.30402816181;"{""type"": ""Point"", ""coordinates"": [2.304028161813934, 48.879227201269316]}";74;08;8/109;51;BOULEVARD DE COURCELLES;597616.642266;130976.647218;6 h - 22 h
48.8776056478, 2.32703687989;"{""type"": ""Point"", ""coordinates"": [2.327036879889135, 48.87760564781868]}";81;09;9/103;21;RUE D AMSTERDAM;599304.165055;130795.86081;24 h / 24
48.8767420817, 2.34685265093;"{""type"": ""Point"", ""coordinates"": [2.346852650930034, 48.876742081672425]}";82;09;9/104;79bis;RUE LA FAYETTE;600757.588777;130699.841226;6 h - 22 h
48.8827090841, 2.34349779975;"{""type"": ""Point"", ""coordinates"": [2.343497799750825, 48.882709084097776]}";84;09;9/114;45;BOULEVARD DE ROCHECHOUART;600511.461885;131363.347573;24 h / 24
48.8826756157, 2.34334023734;"{""type"": ""Point"", ""coordinates"": [2.343340237341333, 48.88267561567267]}";85;09;9/115;45;BOULEVARD DE ROCHECHOUART;600499.906751;131359.624795;24 h / 24
48.8725811844, 2.36407391372;"{""type"": ""Point"", ""coordinates"": [2.364073913719815, 48.87258118442669]}";93;10;10/103;face 81;QUAI DE VALMY;602020.890801;130237.465272;24 h / 24
48.8710936949, 2.36098427062;"{""type"": ""Point"", ""coordinates"": [2.360984270621871, 48.87109369490657]}";95;10;10/105;8;PLACE JACQUES BONSERGENT;601794.307;130071.977;24 h / 24
48.8683459405, 2.36077777293;"{""type"": ""Point"", ""coordinates"": [2.360777772931905, 48.86834594045781]}";99;10;10/109;40;RUE RENE BOULANGER;601779.255481;129766.419877;24 h / 24
48.8801634262, 2.36731781779;"{""type"": ""Point"", ""coordinates"": [2.36731781779473, 48.88016342623018]}";111;10;10/122;179;QUAI DE VALMY;602258.503873;131080.708193;6 h - 1 h
48.8818143971, 2.35323834994;"{""type"": ""Point"", ""coordinates"": [2.353238349935884, 48.88181439707224]}";114;10;10/126;3;RUE AMBROISE PARE;601225.842149;131263.970735;6 h - 22 h
48.8749245669, 2.36364970349;"{""type"": ""Point"", ""coordinates"": [2.363649703485263, 48.874924566910394]}";117;10;10/135;116;QUAI DE JEMMAPES;601989.681331;130498.039762;24 h / 24
48.8571881529, 2.38095648432;"{""type"": ""Point"", ""coordinates"": [2.38095648432243, 48.85718815288686]}";122;11;11/101;face 113;BOULEVARD VOLTAIRE;603260.285652;128526.342044;6 h - 22 h
48.8556437616, 2.38355339048;"{""type"": ""Point"", ""coordinates"": [2.383553390481581, 48.85564376160197]}";129;11;11/109;164;BOULEVARD VOLTAIRE;603450.942955;128354.720394;6 h - 22 h
48.8583131762, 2.3802426629;"{""type"": ""Point"", ""coordinates"": [2.380242662897039, 48.858313176216946]}";140;11;11/131;8;PLACE LEON BLUM;603207.836354;128651.414731;6 h - 22 h
48.857493703, 2.39245136818;"{""type"": ""Point"", ""coordinates"": [2.39245136817969, 48.85749370300114]}";147;11;11/147;133;BOULEVARD DE CHARONNE;604103.712388;128560.881889;6 h - 22 h
48.8347382889, 2.39353336243;"{""type"": ""Point"", ""coordinates"": [2.393533362429245, 48.834738288903424]}";150;12;12/106;283;RUE DE CHARENTON;604185.0016;126030.522764;6 h - 1 h
48.846008596, 2.36702780699;"{""type"": ""Point"", ""coordinates"": [2.367027806987362, 48.84600859600016]}";166;12;12/148;face 98;QUAI DE LA RAPEE;602238.746;127282.658;24 h / 24
48.8389404079, 2.38957294205;"{""type"": ""Point"", ""coordinates"": [2.389572942053018, 48.838940407882085]}";167;12;12/154;face 1;BOULEVARD DE REUILLY;603893.943833;126497.588933;6 h - 22 h
48.8268340661, 2.36458137343;"{""type"": ""Point"", ""coordinates"": [2.36458137343469, 48.82683406611014]}";180;13;13/114;90;RUE DE TOLBIAC;602059.975245;125150.365579;6 h - 1 h
48.8379115964, 2.35564596848;"{""type"": ""Point"", ""coordinates"": [2.355645968484056, 48.83791159635166]}";191;13;13/136;53;BOULEVARD SAINT MARCEL;601403.623921;126381.989777;6 h - 22 h
48.8212404052, 2.36901388481;"{""type"": ""Point"", ""coordinates"": [2.36901388481276, 48.821240405188334]}";194;13;13/148;1;RUE EMILE LEVASSOR;602385.678893;124528.477084;6 h - 22 h
48.8239434465, 2.35812679931;"{""type"": ""Point"", ""coordinates"": [2.3581267993132933, 48.823943446546174]}";195;13;13/161;87;AVENUE D ITALIE;601586.163717;124828.769944;6 h - 22 h
48.8325839304, 2.35616417308;"{""type"": ""Point"", ""coordinates"": [2.356164173084526, 48.83258393044239]}";197;13;13/170;146;BOULEVARD DE L HOPITAL;601441.81306;125789.559049;6 h - 22 h
48.8256858886, 2.31505362284;"{""type"": ""Point"", ""coordinates"": [2.3150536228400043, 48.82568588864026]}";204;14;14/107;103;BOULEVARD BRUNE;598423.55849;125022.525696;6 h - 22 h
48.8256936083, 2.32627447599;"{""type"": ""Point"", ""coordinates"": [2.326274475985862, 48.82569360827836]}";205;14;14/108;103;AVENUE DU GENERAL LECLERC;599247.424431;125023.211357;24 h / 24
48.8303689517, 2.33383417366;"{""type"": ""Point"", ""coordinates"": [2.333834173657767, 48.83036895168585]}";207;14;14/113;face 14;AVENUE RENE COTY;599802.5;125543.066;6 h - 22 h
48.8323424466, 2.33094074871;"{""type"": ""Point"", ""coordinates"": [2.330940748714382, 48.83234244659916]}";211;14;14/118;face 18;AVENUE DU GENERAL LECLERC;599590.094411;125762.531625;6 h - 1 h
48.826231662, 2.30534375195;"{""type"": ""Point"", ""coordinates"": [2.3053437519529902, 48.82623166198629]}";212;14;14/119;3;RUE MAURICE NOGUES;597710.658625;125083.464713;6 h - 22 h
48.8348104903, 2.33211877111;"{""type"": ""Point"", ""coordinates"": [2.33211877111069, 48.83481049030485]}";215;14;14/123;face 297;BOULEVARD RASPAIL;599676.594229;126036.974409;6 h - 22 h
48.8289648283, 2.32797958689;"{""type"": ""Point"", ""coordinates"": [2.327979586892138, 48.82896482825721]}";222;14;14/139;63;AVENUE DU GENERAL LECLERC;599372.661877;125386.958136;24 h / 24
48.8330150787, 2.33118702288;"{""type"": ""Point"", ""coordinates"": [2.331187022876229, 48.83301507872575]}";223;14;14/141;10;AVENUE DU GENERAL LECLERC;599608.179873;125837.32759;24 h / 24
48.8371892955, 2.29680197246;"{""type"": ""Point"", ""coordinates"": [2.296801972456392, 48.8371892954799]}";238;15;15/112;face 200;RUE DE LA CONVENTION;597084.154499;126302.257484;24 h / 24
48.8409059865, 2.30028097537;"{""type"": ""Point"", ""coordinates"": [2.300280975367988, 48.840905986487215]}";241;15;15/116;92-102;RUE BLOMET;597339.734298;126715.426576;6 h - 22 h
48.8364136137, 2.30982319251;"{""type"": ""Point"", ""coordinates"": [2.309823192514288, 48.83641361370931]}";242;15;15/117;68;RUE DE LA PROCESSION;598039.955915;126215.579426;6 h - 22 h
48.8331257229, 2.29949868476;"{""type"": ""Point"", ""coordinates"": [2.299498684763735, 48.83312572286447]}";257;15;15/144;face 41;RUE DES MORILLONS;597281.88373;125850.283561;6 h - 22 h
48.8362409445, 2.28169181419;"{""type"": ""Point"", ""coordinates"": [2.281691814186769, 48.836240944466894]}";262;15;15/159;364;RUE LECOURBE;595974.906002;126197.500447;6 h - 22 h
48.8398553776, 2.26307813413;"{""type"": ""Point"", ""coordinates"": [2.263078134130255, 48.83985537755949]}";268;16;16/105;170;AVENUE DE VERSAILLES;594608.924671;126600.596155;6 h - 22 h
48.8476823115, 2.27363259839;"{""type"": ""Point"", ""coordinates"": [2.273632598392679, 48.84768231151831]}";274;16;16/114;2;PLACE DE BARCELONE;595384.371802;127470.252296;6 h - 22 h
48.8749477124, 2.29569743574;"{""type"": ""Point"", ""coordinates"": [2.295697435741605, 48.87494771236849]}";281;17;17/101;face 2;AVENUE DE WAGRAM;597005.375;130501.063;24 h / 24
48.8856593152, 2.32634362788;"{""type"": ""Point"", ""coordinates"": [2.32634362787954, 48.88565931521443]}";283;17;17/104;25;AVENUE DE CLICHY;599253.444228;131691.44078;6 h - 22 h
48.8908073507, 2.31967009491;"{""type"": ""Point"", ""coordinates"": [2.319670094910733, 48.89080735065565]}";291;17;17/137;135;AVENUE DE CLICHY;598764.176889;132263.993006;6 h - 22 h
48.8875400487, 2.29436414579;"{""type"": ""Point"", ""coordinates"": [2.294364145789265, 48.887540048720794]}";296;17;17/177;face 1;AVENUE STEPHANE MALLARME;596908.369938;131901.393049;6 h - 22 h
48.8914363932, 2.34974114956;"{""type"": ""Point"", ""coordinates"": [2.349741149556916, 48.8914363931723]}";302;18;18/105;96;BOULEVARD BARBES;600969.176821;132333.892086;24 h / 24
48.8850281386, 2.35486399619;"{""type"": ""Point"", ""coordinates"": [2.354863996189523, 48.88502813860903]}";307;18;18/110;3;RUE DE LA GOUTTE D OR;601344.982397;131621.368799;6 h - 22 h
48.9005931845, 2.33510623427;"{""type"": ""Point"", ""coordinates"": [2.335106234266122, 48.90059318452267]}";308;18;18/111;;RUE GERARD DE NERVAL;599896.08557;133352.048179;6 h - 22 h
48.8992899143, 2.34053038252;"{""type"": ""Point"", ""coordinates"": [2.340530382520372, 48.899289914259896]}";310;18;18/113;opposé au 17;RUE RENE BINET;600293.749197;133207.131064;24 h / 24
48.888224506, 2.32593610572;"{""type"": ""Point"", ""coordinates"": [2.3259361057243852, 48.888224506014396]}";312;18;18/115;16;AVENUE DE SAINT OUEN;599223.600677;131976.695831;6 h - 22 h
48.8904544454, 2.35460972095;"{""type"": ""Point"", ""coordinates"": [2.354609720946905, 48.89045444544563]}";316;18;18/119;29;RUE ERNESTINE;601326.194187;132224.773348;6 h - 22 h
48.8965489204, 2.33826967804;"{""type"": ""Point"", ""coordinates"": [2.338269678043939, 48.896548920424664]}";323;18;18/130;135;RUE DAMREMONT;600128.012557;132902.324132;24 h / 24
48.8990168529, 2.33769098113;"{""type"": ""Point"", ""coordinates"": [2.337690981134792, 48.89901685289973]}";325;18;18/139;face 3;RUE MARCEL SEMBAT;600085.581;133176.759;24 h / 24
48.8844921121, 2.3446622105;"{""type"": ""Point"", ""coordinates"": [2.34466221049979, 48.884492112110436]}";329;18;18/150;face 3;PLACE SAINT PIERRE;600596.838082;131561.630094;24 h / 24
48.8881820312, 2.37374993518;"{""type"": ""Point"", ""coordinates"": [2.373749935176992, 48.88818203121584]}";339;19;19/102;58;AVENUE DE FLANDRE;602729.816236;131972.595912;6 h - 22 h
48.877068392, 2.39255357281;"{""type"": ""Point"", ""coordinates"": [2.392553572814836, 48.87706839202013]}";342;19;19/105;;RUE DES FETES;604109.608318;130737.606354;6 h - 22 h
48.8786193513, 2.37826222864;"{""type"": ""Point"", ""coordinates"": [2.3782622286373343, 48.87861935126562]}";345;19;19/108;29;RUE MANIN;603061.287219;130909.393121;24 h / 24
48.8865972849, 2.37715913191;"{""type"": ""Point"", ""coordinates"": [2.377159131908337, 48.886597284893035]}";347;19;19/110;68;QUAI DE LA LOIRE;602979.908449;131796.500393;6 h - 22 h
48.8838976231, 2.39785967871;"{""type"": ""Point"", ""coordinates"": [2.397859678709474, 48.883897623110094]}";352;19;19/117;;AVENUE DE LA PORTE BRUNET;604498.182071;131497.324907;6 h - 22 h
48.8855238884, 2.38101490179;"{""type"": ""Point"", ""coordinates"": [2.3810149017940683, 48.885523888404094]}";355;19;19/120;face 107;AVENUE JEAN JAURES;603262.733;131677.298;6 h - 22 h
48.8822137261, 2.37033634348;"{""type"": ""Point"", ""coordinates"": [2.370336343480127, 48.88221372613072]}";367;19;19/155;face 196;BOULEVARD DE LA VILLETTE;602479.789;131308.798;24 h / 24
48.8858032513, 2.37584765205;"{""type"": ""Point"", ""coordinates"": [2.375847652046841, 48.8858032513043]}";368;19;19/156;52;QUAI DE LA LOIRE;602883.779319;131708.152218;24 h / 24
48.8736801872, 2.38975171918;"{""type"": ""Point"", ""coordinates"": [2.3897517191777142, 48.873680187170365]}";390;20;20/137;face 375;RUE DES PYRENEES;603904.36437;130360.686532;6 h - 1 h
48.8544550261, 2.41224737255;"{""type"": ""Point"", ""coordinates"": [2.412247372551213, 48.85445502610536]}";394;20;20/157;face 3;RUE DES DOCTEURS DEJERINE;605556.598977;128224.245963;6 h - 1 h
48.8649204146, 2.39982370311;"{""type"": ""Point"", ""coordinates"": [2.399823703110033, 48.864920414619895]}";395;20;20/162;1;RUE BELGRAND;604643.975574;129387.165755;24 h / 24
